user_id,step_name,timestamp,referrer,device
user_001,landing_page,2026-03-29T09:00:00,google,desktop
user_001,signup_start,2026-03-29T09:02:00,google,desktop
user_001,email_verified,2026-03-29T09:08:00,google,desktop
user_001,profile_created,2026-03-29T09:15:00,google,desktop
user_001,integration_connected,2026-03-29T09:45:00,google,desktop
user_001,first_project_created,2026-03-29T10:00:00,google,desktop
user_002,landing_page,2026-03-29T09:05:00,google,mobile
user_002,signup_start,2026-03-29T09:06:00,google,mobile
user_002,email_verified,2026-03-29T09:12:00,google,mobile
user_002,profile_created,2026-03-29T09:20:00,google,mobile
user_003,landing_page,2026-03-29T09:10:00,direct,desktop
user_003,signup_start,2026-03-29T09:11:00,direct,desktop
user_004,landing_page,2026-03-29T09:15:00,google,desktop
user_004,signup_start,2026-03-29T09:16:00,google,desktop
user_004,email_verified,2026-03-29T09:25:00,google,desktop
user_005,landing_page,2026-03-29T09:20:00,twitter,mobile
user_005,signup_start,2026-03-29T09:22:00,twitter,mobile
user_005,email_verified,2026-03-29T09:30:00,twitter,mobile
user_006,landing_page,2026-03-29T09:25:00,google,desktop
user_006,signup_start,2026-03-29T09:27:00,google,desktop
user_007,landing_page,2026-03-29T09:30:00,direct,desktop
user_007,signup_start,2026-03-29T09:32:00,direct,desktop
user_007,email_verified,2026-03-29T09:40:00,direct,desktop
user_007,profile_created,2026-03-29T09:50:00,direct,desktop
user_008,landing_page,2026-03-29T09:35:00,google,mobile
user_008,signup_start,2026-03-29T09:37:00,google,mobile
user_009,landing_page,2026-03-29T09:40:00,twitter,desktop
user_009,signup_start,2026-03-29T09:42:00,twitter,desktop
user_009,email_verified,2026-03-29T09:50:00,twitter,desktop
user_009,profile_created,2026-03-29T10:00:00,twitter,desktop
user_009,integration_connected,2026-03-29T10:30:00,twitter,desktop
user_010,landing_page,2026-03-29T09:45:00,google,desktop
user_010,signup_start,2026-03-29T09:47:00,google,desktop
user_010,email_verified,2026-03-29T09:55:00,google,desktop
user_011,landing_page,2026-03-29T09:50:00,direct,mobile
user_011,signup_start,2026-03-29T09:52:00,direct,mobile
user_011,email_verified,2026-03-29T10:00:00,direct,mobile
user_011,profile_created,2026-03-29T10:15:00,direct,mobile
user_012,landing_page,2026-03-29T09:55:00,google,desktop
user_012,signup_start,2026-03-29T09:57:00,google,desktop
user_012,email_verified,2026-03-29T10:05:00,google,desktop
user_012,profile_created,2026-03-29T10:20:00,google,desktop
user_012,integration_connected,2026-03-29T11:00:00,google,desktop
user_012,first_project_created,2026-03-29T11:30:00,google,desktop
user_013,landing_page,2026-03-29T10:00:00,google,mobile
user_013,signup_start,2026-03-29T10:02:00,google,mobile
user_014,landing_page,2026-03-29T10:05:00,twitter,desktop
user_014,signup_start,2026-03-29T10:07:00,twitter,desktop
user_014,email_verified,2026-03-29T10:15:00,twitter,desktop
user_015,landing_page,2026-03-29T10:10:00,direct,desktop
user_015,signup_start,2026-03-29T10:12:00,direct,desktop
user_016,landing_page,2026-03-29T10:15:00,google,desktop
user_016,signup_start,2026-03-29T10:17:00,google,desktop
user_016,email_verified,2026-03-29T10:25:00,google,desktop
user_016,profile_created,2026-03-29T10:40:00,google,desktop
user_017,landing_page,2026-03-29T10:20:00,google,mobile
user_017,signup_start,2026-03-29T10:22:00,google,mobile
user_017,email_verified,2026-03-29T10:30:00,google,mobile
user_017,profile_created,2026-03-29T10:45:00,google,mobile
user_017,integration_connected,2026-03-29T11:30:00,google,mobile
user_018,landing_page,2026-03-29T10:25:00,twitter,desktop
user_018,signup_start,2026-03-29T10:27:00,twitter,desktop
user_018,email_verified,2026-03-29T10:35:00,twitter,desktop
user_018,profile_created,2026-03-29T10:50:00,twitter,desktop
user_019,landing_page,2026-03-29T10:30:00,direct,desktop
user_019,signup_start,2026-03-29T10:32:00,direct,desktop
user_019,email_verified,2026-03-29T10:40:00,direct,desktop
user_019,profile_created,2026-03-29T10:55:00,direct,desktop
user_019,integration_connected,2026-03-29T11:45:00,direct,desktop
user_019,first_project_created,2026-03-29T12:00:00,direct,desktop
user_020,landing_page,2026-03-29T10:35:00,google,desktop
user_020,signup_start,2026-03-29T10:37:00,google,desktop
